Status,Property SubType,Address,List Price,Cross street,Beds,Full baths,Half baths,Living area (ft²),Price / ft²,Year Built,Close Date,Close Price,Availability date,Garage spaces,Zip code,Lot size acres,Original list Price,Contract Date,Sold Price / ft²
"Active","Single Family Home","1319 Lyon Street","$1,985,000","","4","3","0","2,038","$973","1900","","","","1","94115","","$1,985,000","","$973"
"Coming Soon","Single Family Residence","3740 Sacramento St","$9,495,000","Spruce","5","5","1","4,200","$2,260","1900","","","","0","94118","0","$9,495,000","","$2,260"
"Coming Soon","Single Family Residence","3238 Sacramento St","$4,995,000","Lyon","7","5","0","4,810","$1,038","1900","","","","0","94115","0","$4,995,000","","$1,038"
"Closed","Single Family Residence","317 2nd Ave","$2,650,000","Clement","3","2","0","2,137","$1,240","1900","03/09/2026","$2,650,000","","1","94118","0","$1,900,000","03/04/2026","$1,240"
"Closed","Single Family Residence","330 Locust St","$8,113,888","Sacramento","5","5","1","4,869","$1,666","1924","02/27/2026","$8,113,888","","2","94118","0","$7,498,000","02/13/2026","$1,666"
"Sold Off MLS","Single Family Residence","3941 Sacramento St","$8,067,500","Cherry","5","5","1","5,370","$1,502","2020","11/24/2025","$8,067,500","","2","94118","0","$8,067,500","11/24/2025","$1,502"
"Closed","Single Family Residence","525 Laurel St","$3,625,000","Euclid","3","3","0","2,425","$1,494","1948","12/23/2025","$3,625,000","","1","94118","0","$3,300,000","12/10/2025","$1,494"
"Canceled","Single Family Residence","1319 Lyon St","$1,850,000","Post","4","3","0","2,038","$907","1900","","","","0","94115","0","$1,850,000","","$907"
"Duplicate Canceled","Single Family Residence","154 Funston Ave","$4,888,000","Lake St.","8","5","0","3,907","$1,251","1915","","","","2","94118","0","$4,888,000","","$1,251"
"Active","Single Family Residence","371 6th Ave","$2,495,000","Geary","3","3","0","2,269","$1,099","1906","","","","0","94118","0","$2,700,000","","$1,099"
"Closed","Single Family Residence","35 Commonwealth Ave","$7,500,000","California Street","4","4","1","4,793","$1,564","1908","10/20/2025","$7,500,000","","2","94118","0","$6,495,000","10/09/2025","$1,564"
"Closed","Single Family Residence","622 Spruce St","$3,675,000","Euclid","4","3","1","2,662","$1,380","1900","11/10/2025","$3,675,000","","1","94118","0","$2,995,000","10/23/2025","$1,380"
"Closed","Single Family Residence","415 Cornwall St","$3,200,000","5th Ave","3","3","0","2,710","$1,180","1902","10/16/2025","$3,200,000","","0","94118","0","$3,200,000","10/01/2025","$1,180"
"Closed","Single Family Residence","326 10th Ave","$2,750,000","Clement St","4","4","0","2,320","$1,185","1923","10/10/2025","$2,750,000","","0","94118","0","$2,495,000","10/03/2025","$1,185"
"Closed","Single Family Residence","315 Laurel St","$9,250,000","Clay","6","5","1","5,585","$1,656","1900","12/09/2025","$9,250,000","","0","94118","0","$9,995,000","11/20/2025","$1,656"
"Canceled","Single Family Residence","415 Cornwall St","$3,200,000","5th Ave","3","3","1","2,710","$1,180","1902","","","","0","94118","0","$3,200,000","","$1,180"
"Canceled","Single Family Residence","132 Jordan Ave","$6,395,000","Euclid","3","2","1","3,364","$1,901","1912","","","","1","94118","0","$6,395,000","","$1,901"
"Closed","Single Family Residence","555 Laurel St","$3,350,000","Euclid Ave","3","3","1","2,525","$1,326","1948","07/18/2025","$3,350,000","","1","94118","0","$3,650,000","06/23/2025","$1,326"
"Closed","Single Family Residence","19 Jordan Ave","$4,625,000","California","3","2","1","2,770","$1,669","1907","06/04/2025","$4,625,000","","0","94118","0","$3,988,000","05/15/2025","$1,669"
"Closed","Single Family Residence","20 Lupine Ave","$2,900,000","Wood Street","3","3","0","2,285","$1,269","1952","06/09/2025","$2,900,000","","2","94118","0","$2,798,000","05/16/2025","$1,269"
"Closed","Single Family Residence","44 Commonwealth Ave","$5,400,000","California","4","4","0","4,119","$1,310","1913","05/27/2025","$5,400,000","","2","94118","0","$5,495,000","05/18/2025","$1,310"
"Canceled","Single Family Home","371 6th Avenue","$3,150,000","","3","3","","2,269","$1,388","1906","","","","4","94118","0","$2,650,000","","$1,388"
"Sold Off MLS","Single Family Residence","30 Jordan Ave","$7,300,000","California","5","4","1","4,430","$1,647","1912","03/21/2025","$7,300,000","","0","94118","0","$7,300,000","02/24/2025","$1,647"
"Closed","Single Family Residence","36 Palm Ave","$6,325,000","Euclid","4","5","1","4,350","$1,454","1906","05/16/2025","$6,325,000","","2","94118","0","$6,750,000","05/02/2025","$1,454"
"Canceled","Single Family Residence","315 Laurel St","$10,695,000","Clay","6","5","1","5,585","$1,914","1900","","","","0","94118","0","$10,695,000","","$1,914"
"Canceled","Single Family Residence","1319 Lyon St","$2,295,000","Geary","4","3","0","2,030","$1,130","1900","","","","1","94115","0","$2,395,000","","$1,130"
"Sold Off MLS","Single Family Residence","11 Jordan Ave","$3,230,000","Euclid","4","2","2","2,950","$1,094","1917","04/07/2025","$3,230,000","","1","94118","0","$2,995,000","03/22/2025","$1,094"
"Closed","Single Family Residence","625 Euclid Ave","$4,995,000","Commonwealth","4","2","2","3,640","$1,372","1913","04/21/2025","$4,995,000","","2","94118","0","$4,995,000","04/01/2025","$1,372"
"Sold","Single Family Home","184 Jordan Avenue","$6,000,000","","6","5","1","4,491","$1,336","1921","01/27/2025","$6,000,000","","1","94118","0","","01/27/2025","$1,336"
"Canceled","Single Family Residence","1319 Lyon Street","$2,800,000","","4","3","0","2,030","$1,379","1900","","","","1","94115","0","$2,950,000","","$1,379"
"Canceled","Single Family Residence","1319 Lyon St","$2,800,000","Geary","4","3","0","2,030","$1,379","1900","","","","1","94115","0","$2,950,000","","$1,379"
"Canceled","Single Family Residence","415 Cornwall St","$3,200,000","5th Ave","4","3","1","2,710","$1,180","1902","","","","0","94118","0","$3,200,000","","$1,180"
"Cancelled","Detached","371 6th Avenue","$2,900,000","","3","3","0","2,269","$1,278","1906","","","","4","94118","0","","","$1,278"
"Closed","Single Family Residence","254 8th Avenue","$1,410,000","","4","2","0","2,688","$524","1910","09/11/2025","$1,410,000","","1","94118","0","","12/09/2024","$524"
"Sold Off MLS","Single Family Residence","531 Spruce St","$3,650,000","Mayfair","3","3","0","2,333","$1,564","1955","10/15/2024","$3,650,000","","0","94118","0","$3,495,000","09/23/2024","$1,564"
"Canceled","Single Family Residence","415 Cornwall St","$2,598,000","5th","4","3","1","2,710","$958","1902","","","","0","94118","0","$2,598,000","","$958"
"Sold","Single Family Home","137 11th Avenue","$4,200,000","","4","4","1","2,886","$1,455","1907","12/03/2024","$4,200,000","","1","94118","0","$4,495,000","11/02/2024","$1,455"
"Canceled","Single Family Home","184 Jordan Avenue","$6,995,000","","6","5","1","4,491","$1,557","1921","","","","1","94118","0","$7,495,000","","$1,557"
"Closed","Single Family Residence","246 11th Ave","$3,450,000","California St","5","5","0","3,373","$1,022","1900","09/17/2024","$3,450,000","","2","94118","0","$3,395,000","08/23/2024","$1,022"
"Closed","Single Family Residence","104 3rd Ave","$3,125,000","Lake St.","3","2","1","2,005","$1,558","0","09/12/2024","$3,125,000","","1","94118","0","$2,695,000","08/29/2024","$1,558"
"Canceled","Single Family Residence","215 3rd Ave","$4,998,000","California","6","5","1","4,415","$1,132","1900","","","","1","94118","0","$4,998,000","","$1,132"
"Closed","Single Family Residence","152 4th Ave","$4,296,000","Lake street","5","4","1","3,802","$1,129","0","10/31/2024","$4,296,000","","1","94118","0","$4,295,000","10/15/2024","$1,129"
