Status,Property SubType,Address,List Price,Cross street,Beds,Full baths,Half baths,Living area (ft²),Price / ft²,Year Built,Close Date,Close Price,Availability date,Garage spaces,Zip code,Lot size acres,Original list Price,Contract Date,Sold Price / ft²
"Canceled","Single Family Residence","215 Avila St","$3,695,000","Capra","4","3","0","2,435","$1,517","1926","","","","0","94123","0","$3,695,000","","$1,517"
"Closed","Single Family Residence","2646 Chestnut St","$5,725,000","Lyon","5","4","1","4,218","$1,357","1928","05/03/2019","$5,725,000","","0","94123","0","$5,795,000","04/24/2019","$1,357"
"Closed","Single Family Residence","77 Toledo Way","$4,400,000","Pierce","4","4","0","2,740","$1,605","1925","05/07/2019","$4,400,000","","0","94123","0","$4,400,000","05/06/2019","$1,605"
"Closed","Single Family Residence","341 Avila St","$3,000,000","Prado","5","3","0","3,162","$948","1924","04/22/2019","$3,000,000","","0","94123","0","$3,500,000","04/01/2019","$948"
"Closed","Single Family Residence","278 Mallorca Way","$2,750,000","Alhambra","3","2","1","2,175","$1,264","1925","04/23/2019","$2,750,000","","0","94123","","$2,650,000","04/02/2019","$1,264"
"Duplicate Canceled","Single Family Residence","3434 Broderick St","$3,195,000","North Point","5","3","0","2,700","$1,183","1931","","","","0","94123","0","$3,195,000","","$1,183"
"Closed","Single Family Residence","148 Alhambra St","$2,825,000","Pierce Street","3","3","1","2,638","$1,070","1925","02/21/2019","$2,825,000","","0","94123","0","$2,825,000","02/08/2019","$1,070"
"Closed","Single Family Residence","51 Avila St","$5,445,000","Chestnut","4","3","1","3,375","$1,613","1924","02/08/2019","$5,445,000","","0","94123","0","$5,495,000","01/29/2019","$1,613"
"Closed","Single Family Residence","224 Avila St","$4,500,000","Capra Way","4","4","0","3,081","$1,460","1925","11/30/2018","$4,500,000","","0","94123","0","$4,895,000","11/30/2018","$1,460"
"Closed","Single Family Residence","152 Cervantes Blvd","$3,550,000","Avila","4","3","1","2,770","$1,281","1927","12/19/2018","$3,550,000","","0","94123","0","$3,990,000","12/03/2018","$1,281"
"Closed","Single Family Residence","120 Alhambra St","$3,150,000","Mallorca Way","3","2","0","2,234","$1,410","1925","03/02/2018","$3,150,000","","0","94123","","$2,595,000","02/23/2018","$1,410"
"Canceled","Single Family Residence","51 Avila St","$5,495,000","Chestnut","4","3","1","3,375","$1,628","1924","","","","0","94123","0","$5,895,000","","$1,628"
"Closed","Single Family Residence","26 Cervantes Blvd","$2,725,000","Fillmore St","3","2","1","2,250","$1,211","1925","11/16/2018","$2,725,000","","0","94123","0","$2,825,000","10/30/2018","$1,211"
"Closed","Single Family Residence","2447 Francisco St","$3,100,000","Broderick","4","3","0","3,030","$1,023","1926","11/20/2018","$3,100,000","","0","94123","0","$2,895,000","10/19/2018","$1,023"
"Closed","Single Family Residence","424 Avila St","$4,995,000","Cervantes","5","4","1","3,520","$1,419","0","09/18/2018","$4,995,000","","0","94123","","$5,295,000","07/20/2018","$1,419"
"Canceled","Single Family Residence","224 Avila St","$4,895,000","Capra Way","4","4","0","3,081","$1,588","1925","","","","0","94123","0","$4,895,000","","$1,588"
"Closed","Single Family Residence","2622 Chestnut St","$4,730,000","Lyon","5","4","1","4,207","$1,124","1925","10/03/2018","$4,730,000","","0","94123","0","$4,995,000","09/10/2018","$1,124"
"Closed","Single Family Residence","1446 Francisco St","$3,700,000","Gough","4","2","1","2,820","$1,312","1923","08/10/2018","$3,700,000","","0","94123","0","$3,895,000","07/19/2018","$1,312"
"Closed","Single Family Residence","831 Marina Blvd","$4,100,000","Baker","3","3","1","3,128","$1,310","1938","07/05/2018","$4,100,000","","0","94123","0","$3,500,000","06/11/2018","$1,310"
"Closed","Single Family Residence","268 Mallorca Way","$6,050,000","Beach","5","5","1","5,003","$1,209","0","05/25/2018","$6,050,000","","0","94123","0","$7,000,000","05/25/2018","$1,209"
"Expired","Single Family Residence","2526 Francisco St","$5,188,000","Baker","5","4","1","3,845","$1,349","1927","","","","0","94123","0","$5,188,000","","$1,349"
