Status,Property SubType,Address,List Price,Cross street,Beds,Full baths,Half baths,Living area (ft²),Price / ft²,Year Built,Close Date,Close Price,Availability date,Garage spaces,Zip code,Lot size acres,Original list Price,Contract Date,Sold Price / ft²
"Closed","Single Family Residence","172 Cervantes Blvd","$5,250,000","Avila Street","4","3","1","2,600","$2,019","1926","03/09/2026","$5,250,000","","2","94123","0","$5,100,000","03/02/2026","$2,019"
"Active","Single Family Residence","349 Marina Blvd","$3,495,000","Fillmore","4","3","0","2,814","$1,242","1949","","","","0","94123","0","$3,495,000","","$1,242"
"Sold Off MLS","Single Family Residence","3620 Lyon St","$3,700,000","Marina Blvd","4","3","1","2,776","$1,332","1949","01/13/2026","$3,700,000","","0","94123","0","$3,700,000","12/15/2025","$1,332"
"Closed","Single Family Residence","3666 Baker St","$4,999,000","Marina Blvd","4","3","1","4,140","$1,207","1922","12/24/2025","$4,999,000","","0","94123","0","$6,200,000","12/19/2025","$1,207"
"Sold Off MLS","Single Family Residence","377 Marina Blvd","$6,500,000","Casa Way","4","3","0","3,543","$1,834","1930","10/15/2025","$6,500,000","","0","94123","0","$6,500,000","09/26/2025","$1,834"
"Closed","Single Family Residence","301 Marina Boulevard","$5,300,000","","4","5","1","3,664","$1,446","1928","07/16/2025","$5,300,000","","1","94123","0","","07/15/2025","$1,446"
"Closed","Single Family Residence","585 Marina Blvd","$7,650,000","Divisadero St","4","3","1","4,105","$1,863","1954","07/15/2025","$7,650,000","","0","94123","0","$7,800,000","07/09/2025","$1,863"
"Closed","Single Family Residence","3636 Baker St","$8,260,000","Marina Blvd","5","3","1","4,275","$1,932","1937","05/02/2025","$8,260,000","","0","94123","0","$8,995,000","04/28/2025","$1,932"
"Canceled","Single Family Residence","301 Marina Blvd","$5,490,000","Retiro","4","5","1","3,664","$1,498","0","","","","0","94123","","$5,490,000","","$1,498"
"Closed","Single Family Residence","663 Marina Blvd","$10,750,000","Divisadero","5","5","3","5,420","$1,983","1937","10/21/2024","$10,750,000","","2","94123","0","$9,950,000","10/07/2024","$1,983"
"Duplicate Canceled","Single Family Residence","1436 Jefferson St","$8,500,000","Webster St","6","7","2","6,560","$1,295","1932","","","","0","94123","0","$8,500,000","10/01/2024","$1,295"
"Closed","Single Family Residence","3715 Broderick St","$3,299,000","Jefferson","3","3","1","2,490","$1,324","1929","10/28/2024","$3,299,000","","1","94123","0","$3,650,000","10/16/2024","$1,324"
"Closed","Single Family Residence","543 Marina Blvd","$4,600,000","Scott","4","3","0","2,978","$1,544","1929","07/05/2024","$4,600,000","","0","94123","0","$5,500,000","06/09/2024","$1,544"
"Canceled","Single Family Residence","585 Marina Blvd","$6,995,000","Divisadero","4","3","1","4,062","$1,722","1954","","","","0","94123","0","$6,995,000","","$1,722"
