Status,Property SubType,Address,List Price,Cross street,Beds,Full baths,Half baths,Living area (ft²),Price / ft²,Year Built,Close Date,Close Price,Availability date,Garage spaces,Zip code,Lot size acres,Original list Price,Contract Date,Sold Price / ft²
"Active","Single Family Residence","1705 Gough St","$4,250,000","Pine Street","3","2","1","2,747","$1,547","1875","","","","2","94109","0","$4,250,000","","$1,547"
"Active","Single Family Home","1319 Lyon Street","$1,985,000","","4","3","0","2,038","$973","1900","","","","1","94115","","$1,985,000","","$973"
"Coming Soon","Single Family Residence","1969 California St","$16,000,000","Octavia","6","6","0","8,524","$1,877","1915","","","","0","94109","0","$16,000,000","","$1,877"
"Canceled","Single Family Residence","1319 Lyon St","$1,850,000","Post","4","3","0","2,038","$907","1900","","","","0","94115","0","$1,850,000","","$907"
"Expired","Detached","2070 Bush St","$4,250,000","","3","2","1","2,890","$1,470","1874","","","","2","94115","0","","","$1,470"
"Closed","Single Family Residence","2215 California St","$6,995,000","Webster","5","4","2","4,004","$1,747","1890","12/16/2025","$6,995,000","","2","94115","0","$6,995,000","10/01/2025","$1,747"
"Closed","Single Family Residence","2232 Bush St","$4,535,000","Filmore","3","3","1","6,374","$711","1919","11/17/2025","$4,535,000","","1","94115","0","$4,950,000","10/30/2025","$711"
"Sold Off MLS","Single Family Residence","2617 Sutter St","$3,300,000","Lyon St","4","2","0","2,525","$1,306","1898","09/15/2025","$3,300,000","","1","94115","0","$2,895,000","09/08/2025","$1,306"
"Sold Off MLS","Single Family Residence","1827 Scott St","$4,075,000","Pine Street","3","3","1","2,361","$1,725","1900","11/14/2025","$4,075,000","","2","94115","0","$3,800,000","11/14/2025","$1,725"
"Closed","Single Family Residence","80 Wilmot Street","$4,400,000","","3","2","1","2,875","$1,530","1994","09/22/2025","$4,400,000","","2","94115","0","","09/07/2025","$1,530"
"Canceled","Single Family Residence","2232 Bush St","$5,200,000","Filmore","3","3","1","6,374","$815","1919","","","","0","94115","0","$5,200,000","","$815"
"Closed","2 Houses on Lot","2675-2677 Sutter St","$2,812,000","Baker","7","5","0","3,076","$914","1902","08/22/2025","$2,812,000","","1","94115","0","$2,950,000","07/31/2025","$914"
"Closed","Single Family Residence","1850 Laguna St","$4,200,000","Pine St","4","3","1","2,615","$1,606","1900","07/07/2025","$4,200,000","","1","94115","0","$3,795,000","06/18/2025","$1,606"
"Closed","Single Family Residence","1928 Pierce St","$3,500,000","California","3","2","1","2,206","$1,586","1900","05/30/2025","$3,500,000","","1","94115","0","$2,995,000","05/09/2025","$1,586"
"Expired","Detached","2070 Bush St","$4,250,000","","3","2","1","2,890","$1,470","1874","","","","2","94115","0","","","$1,470"
"Canceled","Single Family Residence","1319 Lyon St","$2,295,000","Geary","4","3","0","2,030","$1,130","1900","","","","1","94115","0","$2,395,000","","$1,130"
"Canceled","Single Family Residence","1705 Gough St","$4,100,000","Pine Street","3","3","0","2,747","$1,492","1875","","","","2","94109","0","$4,100,000","","$1,492"
"Closed","Single Family Residence","2430 Pine St","$3,500,000","Pierce","3","2","1","2,010","$1,741","1900","03/21/2025","$3,500,000","","1","94115","0","$3,195,000","03/06/2025","$1,741"
"Sold","Single Family Home","2880 Bush Street","$1,680,000","","6","4","","3,762","$446","1900","04/08/2025","$1,680,000","","0","94115","0","$1,590,000","02/25/2025","$446"
"Canceled","Single Family Residence","1319 Lyon Street","$2,800,000","","4","3","0","2,030","$1,379","1900","","","","1","94115","0","$2,950,000","","$1,379"
"Canceled","Single Family Residence","1319 Lyon St","$2,800,000","Geary","4","3","0","2,030","$1,379","1900","","","","1","94115","0","$2,950,000","","$1,379"
"Closed","Single Family Residence","1709 Broderick St","$6,000,000","Pine St","4","3","1","3,737","$1,605","1900","04/07/2025","$6,000,000","","0","94115","0","$5,995,000","03/17/2025","$1,605"
"Canceled","Single Family Residence","2268 Pine St","$4,095,000","Fillmore","5","4","1","3,335","$1,227","1900","","","","0","94115","0","$4,350,000","","$1,227"
"Closed","Single Family Residence","2679 California St","$4,425,000","Scott","5","4","1","4,311","$1,026","1900","11/12/2024","$4,425,000","","0","94115","0","$4,749,000","10/22/2024","$1,026"
"Canceled","Single Family Residence","1709 Broderick St","$6,500,000","Pine St","4","3","1","3,737","$1,739","1900","","","","0","94115","0","$6,500,000","10/26/2024","$1,739"
"Canceled","Single Family Residence","1705 Gough St","$3,500,000","Pine Street","3","2","1","2,748","$1,273","1900","","","","2","94109","0","$3,500,000","","$1,273"
"Canceled","Single Family Residence","2232 Bush St","$5,500,000","Fillmore","3","3","1","6,374","$862","1919","","","","1","94115","0","$5,500,000","","$862"
"Sold Off MLS","Single Family Residence","1969 California St","$9,000,000","Octavia","5","6","1","8,990","$1,001","1915","06/18/2024","$9,000,000","","0","94109","0","$9,000,000","05/20/2024","$1,001"
"Canceled","Single Family Residence","1709 Broderick St","$6,500,000","Pine St","4","3","1","3,737","$1,739","1900","","","","0","94115","0","$6,500,000","","$1,739"
"Canceled","Single Family Home","1843 Pine Street","$5,999,000","","8","6","1","5,286","$1,134","1900","","","","4","94109","0","$5,999,000","","$1,134"
"Closed","Single Family Residence","1855 Laguna St","$3,525,000","Pine St","4","3","1","3,590","$981","1900","07/12/2024","$3,525,000","","2","94115","0","$3,500,000","06/20/2024","$981"
"Closed","Single Family Residence","2206 Pine St","$3,580,000","Orben","4","3","1","2,308","$1,551","1900","06/04/2024","$3,580,000","","1","94115","0","$2,998,000","05/15/2024","$1,551"
"Closed","Single Family Residence","2609 California St","$4,355,000","Pierce","5","5","1","4,645","$937","1890","05/31/2024","$4,355,000","","3","94115","0","$3,995,000","05/08/2024","$937"
"Closed","Single Family Residence","2817 Pine St","$3,950,000","Baker","4","3","1","2,736","$1,443","1900","03/12/2024","$3,950,000","","0","94115","0","$3,795,000","02/14/2024","$1,443"
"Closed","Single Family Residence","2972 Bush Street","$1,350,000","","6","4","0","3,890","$347","1900","02/24/2023","$1,350,000","","0","94115","0","$1,550,000","01/30/2023","$347"
"Closed","Single Family Residence","2009 Buchanan Street","$4,100,000","","5","4","1","4,640","$883","1900","07/01/2020","$4,100,000","","0","94115","0","$4,325,000","07/01/2020","$883"
"Closed","Single Family Residence","2018 Buchanan St","$3,600,000","California","4","3","1","2,600","$1,384","0","09/01/2023","$3,600,000","","0","94115","0","$3,349,000","08/22/2023","$1,384"
"Closed","2 Houses on Lot","1707 Baker St","$2,555,000","Pine","3","2","0","2,150","$1,188","1900","10/23/2023","$2,555,000","","0","94115","0","$1,995,000","09/29/2023","$1,188"
"Closed","Single Family Residence","2208 Pine St","$2,895,000","Webster","3","3","1","2,487","$1,164","1900","12/06/2023","$2,895,000","","0","94115","0","$3,350,000","11/22/2023","$1,164"
"Canceled","Single Family Home","2866 Pine Street","$5,500,000","","5","5","","4,270","$1,288","1900","","","","1","94115","","$5,500,000","","$1,288"
"Sold","Single Family Home","2018 Buchanan Street","$3,600,000","","4","3","1","2,600","$1,384","1900","09/01/2023","$3,600,000","","3","94115","0","$3,349,000","08/24/2023","$1,384"
"Closed","Single Family Residence","1876 Bush St","$3,988,000","Laguna","6","5","0","4,256","$937","1900","11/21/2023","$3,988,000","","0","94109","0","$4,499,000","11/20/2023","$937"
"Closed","Single Family Residence","2866 Pine St","$4,600,000","Baker","5","5","0","4,270","$1,077","1900","10/13/2023","$4,600,000","","0","94115","0","$5,500,000","10/02/2023","$1,077"
"Closed","Single Family Residence","31 Orben Pl","$4,150,000","CA/Pine","3","3","1","3,000","$1,383","2001","09/02/2020","$4,150,000","","0","94115","0","$4,395,000","08/22/2020","$1,383"
"Canceled","Single Family Residence","2712 Pine St","$5,495,000","Divisadero","6","4","1","4,275","$1,285","1900","","","","0","94115","0","$5,495,000","","$1,285"
"Sold Off MLS","Single Family Residence","2938 Pine St","$4,200,000","Baker","4","2","2","2,742","$1,531","1900","03/15/2021","$4,200,000","","0","94115","0","$4,200,000","02/19/2021","$1,531"
"Closed","Single Family Residence","1930 Pine St","$4,350,000","Laguna Street","4","4","1","3,170","$1,372","2014","04/07/2021","$4,350,000","","0","94109","0","$4,350,000","03/18/2021","$1,372"
"Canceled","Single Family Residence","2250 Bush St","$3,499,000","Fillmore","4","3","1","3,445","$1,015","1900","","","","0","94115","0","$3,499,000","","$1,015"
"Closed","Single Family Residence","2123 Bush St","$3,050,000","Fillmore St.","5","4","0","2,860","$1,066","1885","12/21/2020","$3,050,000","","0","94115","0","$3,300,000","11/25/2020","$1,066"
"Canceled","Single Family Residence","1954 Buchanan St","$2,695,000","Pine","3","2","1","2,168","$1,243","1900","","","","0","94115","0","$2,695,000","","$1,243"
"Closed","Single Family Residence","2208 Pine St","$3,350,000","Fillmore","3","3","1","2,487","$1,347","1900","10/07/2020","$3,350,000","","0","94115","0","$3,498,000","09/07/2020","$1,347"
"Closed","Single Family Residence","1703 Gough St","$3,050,000","California","4","5","1","3,350","$910","1875","09/08/2020","$3,050,000","","0","94109","0","$3,595,000","08/11/2020","$910"
"Closed","Single Family Residence","2608 Post St","$2,475,000","Presidio Ave","3","3","0","2,152","$1,150","2012","09/10/2020","$2,475,000","","0","94115","","$2,550,000","08/23/2020","$1,150"
"Closed","Single Family Residence","2187 California St","$4,900,000","Buchanan","4","3","1","4,200","$1,166","1900","11/03/2020","$4,900,000","","0","94115","0","$4,700,000","10/28/2020","$1,166"
"Canceled","Single Family Residence","2306 Geary Blvd","$1,699,000","Broderick","3","3","0","2,050","$828","1904","","","","0","94115","0","$1,890,000","","$828"
"Closed","Single Family Residence","1850 Laguna St","$3,630,000","Pine Street","4","3","1","2,813","$1,290","1900","06/02/2020","$3,630,000","","0","94115","0","$3,650,000","05/21/2020","$1,290"
"Closed","Single Family Residence","1717 S Baker St","$3,025,000","California","4","3","1","2,460","$1,229","1900","08/28/2020","$3,025,000","","0","94115","0","$2,998,000","08/17/2020","$1,229"
"Canceled","Single Family Residence","2250 Bush St","$3,995,000","Fillmore","4","3","1","3,445","$1,159","1900","","","","0","94115","","$3,995,000","","$1,159"
"Closed","Single Family Residence","2279 Pine St","$2,820,000","Fillmore","3","3","1","2,175","$1,296","1900","08/03/2020","$2,820,000","","0","94115","0","$3,150,000","07/13/2020","$1,296"
"Closed","Single Family Residence","2070 Pine St","$4,925,000","Buchanan","5","3","1","4,400","$1,119","0","03/15/2017","$4,925,000","","0","94103","","$4,995,000","03/13/2017","$1,119"
"Closed","Single Family Residence","1802 Scott St","$2,600,000","Pine","3","3","0","2,205","$1,179","1986","07/02/2020","$2,600,000","","0","94115","0","$2,750,000","06/09/2020","$1,179"
