Status,Property SubType,Address,List Price,Cross street,Beds,Full baths,Half baths,Living area (ft²),Price / ft²,Year Built,Close Date,Close Price,Availability date,Garage spaces,Zip code,Lot size acres,Original list Price,Contract Date,Sold Price / ft²
"Active","Single Family Residence","139 Cherry St","$5,250,000","Jackson","3","2","1","2,797","$1,877","1914","","","","0","94118","0","$5,250,000","","$1,877"
"Coming Soon","Single Family Residence","132-136 Presidio Ave","$8,000,000","Jackson/Washington","9","7","1","7,805","$1,024","1912","","","","2","94115","0","$8,000,000","","$1,024"
"Sold Off MLS","Single Family Residence","3580 Clay St","$7,559,125","Locust","6","4","0","4,965","$1,522","1906","02/03/2026","$7,559,125","","0","94118","0","$7,559,125","01/26/2026","$1,522"
"Pending","Single Family Residence","3625 Jackson St","$15,000,000","Spruce","4","4","2","5,125","$2,926","1922","","","","0","94118","0","$15,000,000","03/11/2026","$2,926"
"Coming Soon","Single Family Residence","3466 Jackson St","$16,250,000","Locust / Laurel","7","5","2","6,300","$2,579","1912","","","","2","94118","0","$16,250,000","","$2,579"
"Coming Soon","Single Family Residence","10 5th Ave","$12,000,000","Lake Street","7","4","2","6,075","$1,975","1905","","","","2","94118","0","$12,000,000","","$1,975"
"Coming Soon","Single Family Residence","3740 Sacramento St","$9,495,000","Spruce","5","5","1","4,200","$2,260","1900","","","","0","94118","0","$9,495,000","","$2,260"
"Coming Soon","Single Family Residence","3238 Sacramento St","$4,995,000","Lyon","7","5","0","4,810","$1,038","1900","","","","0","94115","0","$4,995,000","","$1,038"
"Pending","Single Family Residence","3 Presidio Ter","$9,500,000","Arguello","6","5","1","7,564","$1,255","1906","","","","2","94118","0","$9,500,000","03/06/2026","$1,255"
"Sold Off MLS","Single Family Residence","3950 Clay St","$7,700,000","Arguello","5","3","1","5,245","$1,468","1911","02/12/2026","$7,700,000","","1","94118","0","$7,500,000","02/12/2026","$1,468"
"Closed","Single Family Residence","330 Locust St","$8,113,888","Sacramento","5","5","1","4,869","$1,666","1924","02/27/2026","$8,113,888","","2","94118","0","$7,498,000","02/13/2026","$1,666"
"Canceled","Single Family Residence","159 7th Ave","$5,800,000","Lake St","4","4","1","3,795","$1,528","1909","","","","0","94118","0","$5,800,000","02/05/2026","$1,528"
"Sold Off MLS","Single Family Residence","3434 Jackson St","$9,500,000","Laurel","5","5","1","5,785","$1,642","1919","02/20/2026","$9,500,000","","0","94118","0","$10,000,000","02/06/2026","$1,642"
"Closed","Single Family Residence","142 Arguello Boulevard","$4,999,999","","5","5","0","4,106","$1,217","0","02/18/2026","$4,999,999","","2","94118","0","","02/02/2026","$1,217"
"Sold","Other Residential","3445 Clay Street","$1,875,000","","3","2","","2,102","$892","1900","12/19/2025","$1,875,000","","1","94118","","$1,875,000","12/19/2025","$892"
