Status,Property SubType,Address,List Price,Cross street,Beds,Full baths,Half baths,Living area (ft²),Price / ft²,Year Built,Close Date,Close Price,Availability date,Garage spaces,Zip code,Lot size acres,Original list Price,Contract Date,Sold Price / ft²
"Active","Single Family Residence","2523 Steiner St","$5,795,000","Pacific Ave","3","3","1","2,820","$2,054","2006","","","","1","94115","0","$5,795,000","","$2,054"
"Pending","Single Family Residence","2001 Pacific Ave","$5,200,000","Octavia","5","4","0","3,155","$1,648","1956","","","","2","94109","0","$5,200,000","03/12/2026","$1,648"
"Canceled","Single Family Residence","2972 Pacific Ave","$9,500,000","Baker","5","4","2","5,068","$1,874","1895","","","","2","94115","0","$9,500,000","","$1,874"
"Closed","Single Family Residence","1980 Jackson St","$6,608,500","Octavia","5","4","1","4,862","$1,359","1941","03/03/2026","$6,608,500","","2","94109","0","$7,250,000","02/12/2026","$1,359"
"Active","Single Family Residence","2500 Divisadero St","$13,950,000","Pacific","8","5","3","9,100","$1,532","1936","","","","2","94115","0","$14,500,000","","$1,532"
"Closed","Single Family Residence","2333 Octavia St","$8,500,000","Jackson","4","4","0","4,204","$2,021","1956","03/09/2026","$8,500,000","","0","94109","0","$7,750,000","01/22/2026","$2,021"
"Canceled","Single Family Residence","2505 Divisadero St","$65,000","Broadway","8","8","2","10,100","$6","1900","","","","2","94115","0","$65,000","","$6"
"Canceled","Single Family Residence","1948 Pacific Ave","$19,988,000","Octavia","6","6","2","8,485","$2,355","1900","","","","0","94109","0","$19,988,000","","$2,355"
"Pending","Single Family Residence","2725 Broadway St","$8,900,000","Divisadero","6","6","2","8,234","$1,080","1983","","","","3","94115","0","$9,500,000","03/11/2026","$1,080"
"Closed","Single Family Residence","1994 Jackson St","$9,395,000","Octavia","4","6","1","5,490","$1,711","1941","10/02/2025","$9,395,000","","2","94109","0","$9,395,000","09/12/2025","$1,711"
"Closed","Single Family Residence","2546 Jackson Street","$12,000,000","","9","9","1","8,155","$1,471","0","10/17/2025","$12,000,000","","3","94115","0","","08/26/2025","$1,471"
"Closed","Single Family Residence","1970 Jackson St","$12,000,000","Octavia St.","5","5","1","5,652","$2,123","1948","07/23/2025","$12,000,000","","0","94109","0","$11,950,000","06/27/2025","$2,123"
"Closed","Single Family Residence","2500 Pacific Ave","$9,500,000","Steiner","4","3","1","4,315","$2,201","1923","05/19/2025","$9,500,000","","0","94115","0","$9,500,000","05/08/2025","$2,201"
"Canceled","Single Family Residence","2935 Pacific Ave","$19,500,000","Broderick St","8","7","3","9,390","$2,076","1936","","","","0","94115","0","$19,500,000","05/30/2025","$2,076"
"Closed","Single Family Residence","2503 Broadway St","$8,200,000","Pierce","5","3","1","4,205","$1,950","1910","05/14/2025","$8,200,000","","2","94115","0","$8,250,000","05/06/2025","$1,950"
"Closed","Single Family Residence","2655 Steiner St","$6,000,000","Broadway","5","4","1","4,411","$1,360","1937","08/25/2025","$6,000,000","","0","94115","0","$6,995,000","08/06/2025","$1,360"
"Closed","Single Family Residence","2198 Jackson St","$4,125,000","Buchanan","10","11","1","7,515","$548","1902","11/26/2025","$4,125,000","","0","94115","0","$3,875,000","10/30/2025","$548"
"Closed","Single Family Residence","2513 Broadway St","$5,950,000","Pierce & Scott","3","3","1","4,035","$1,474","1889","06/16/2025","$5,950,000","","2","94115","0","$5,995,000","04/24/2025","$1,474"
"Sold","Single Family Home","2675 Pacific Avenue","$5,400,000","","4","3","1","2,700","$2,000","1919","05/09/2025","$5,400,000","","1","94115","0","$5,300,000","04/14/2025","$2,000"
"Closed","Single Family Residence","2312 Pacific Ave","$14,000,000","Webster","5","4","1","7,288","$1,920","1908","10/03/2025","$14,000,000","","3","94115","0","$15,495,000","09/19/2025","$1,920"
"Canceled","Single Family Residence","2830 Pacific Ave","$27,500,000","Broderick","6","6","2","9,625","$2,857","1910","","","","3","94115","0","$27,500,000","","$2,857"
"Canceled","Single Family Residence","2467 Pacific Ave","$14,500,000","Fillmore St","6","6","2","6,990","$2,074","1911","","","","0","94115","0","$14,500,000","10/19/2025","$2,074"
"Pending","Single Family Residence","2800 Pacific Ave","$10,990,000","Divisadero","5","4","2","8,179","$1,343","1908","","","","0","94115","0","$10,990,000","02/04/2026","$1,343"
"Canceled","Single Family Residence","45 Raycliff Ter","$15,995,000","Pacific","5","5","2","5,882","$2,719","1941","","","","2","94115","0","$15,995,000","","$2,719"
"Closed","Single Family Residence","2050 Jackson St","$9,000,000","Laguna","4","5","1","5,664","$1,588","1929","05/16/2025","$9,000,000","","2","94109","0","$10,500,000","05/08/2025","$1,588"
